# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles'
# Event count (approx.): 6102347960
#
# Overhead  Command   Shared Object      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# ........  ........  .................  .............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.04%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.04%  wasmtime  [kernel.kallsyms]  [k] ext4_file_write_iter
     0.04%  wasmtime  wasmtime           [.] core::iter::adapters::map::map_fold
     0.04%  wasmtime  [kernel.kallsyms]  [k] add_to_page_cache_lru
     0.04%  wasmtime  [kernel.kallsyms]  [k] import_iovec
     0.04%  wasmtime  [kernel.kallsyms]  [k] __ext4_journal_stop
     0.04%  wasmtime  wasmtime           [.] core::slice::<impl [T]>::get
     0.04%  wasmtime  wasmtime           [.] <alloc::alloc::Global as core::alloc::Allocator>::allocate
     0.04%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
     0.04%  wasmtime  [kernel.kallsyms]  [k] dec_zone_page_state
     0.04%  wasmtime  [kernel.kallsyms]  [k] up_read
     0.04%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::from_output
     0.04%  wasmtime  wasmtime           [.] core::hash::BuildHasher::hash_one
     0.04%  wasmtime  wasmtime           [.] core::sync::atomic::AtomicU32::load
     0.04%  wasmtime  wasmtime           [.] <core::iter::adapters::GenericShunt<I,R> as core::iter::traits::iterator::Iterator>::size_hint
     0.04%  wasmtime  wasmtime           [.] std::collections::hash::map::HashMap<K,V,S>::remove
     0.04%  wasmtime  [kernel.kallsyms]  [k] __inc_zone_state
     0.04%  wasmtime  wasmtime           [.] alloc::boxed::<impl core::convert::From<alloc::boxed::Box<T,A>> for core::pin::Pin<alloc::boxed::Box<T,A>>>::from
     0.04%  wasmtime  wasmtime           [.] core::slice::<impl [T]>::align_to_offsets::gcd
     0.04%  wasmtime  wasmtime           [.] wiggle::borrow::InnerBorrowChecker::new_handle
     0.04%  wasmtime  [kernel.kallsyms]  [k] account_page_dirtied
     0.04%  wasmtime  wasmtime           [.] <usize as core::slice::index::SliceIndex<[T]>>::index
     0.04%  wasmtime  wasmtime           [.] tracing::__macro_support::MacroCallsite::disabled_span
     0.04%  wasmtime  [kernel.kallsyms]  [k] path_put
     0.04%  wasmtime  [kernel.kallsyms]  [k] ext4_reserve_inode_write
     0.04%  wasmtime  [kernel.kallsyms]  [k] __generic_file_write_iter
     0.04%  wasmtime  wasmtime           [.] std::collections::hash::map::HashMap<K,V,S>::get
     0.04%  wasmtime  wasmtime           [.] core::future::identity_future
     0.04%  wasmtime  wasmtime           [.] hashbrown::raw::inner::sse2::Group::match_byte
     0.04%  wasmtime  wasmtime           [.] wiggle::GuestPtr<[T]>::as_cow
     0.04%  wasmtime  wasmtime           [.] core::option::Option<T>::unwrap
     0.04%  wasmtime  wasmtime           [.] core::hash::sip::u8to64_le
     0.04%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
     0.04%  wasmtime  wasmtime           [.] alloc::vec::Vec<T,A>::extend_trusted
     0.04%  wasmtime  wasmtime           [.] <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::try_fold
     0.04%  wasmtime  wasmtime           [.] core::ptr::mut_ptr::<impl *mut T>::is_null
     0.04%  wasmtime  wasmtime           [.] tracing::instrument::Instrument::instrument
     0.04%  wasmtime  wasmtime           [.] indexmap::map::IndexMap<K,V,S>::len
     0.04%  wasmtime  wasmtime           [.] wiggle::borrow::InnerBorrowChecker::shared_borrow
     0.04%  wasmtime  libc-2.31.so       [.] writev
     0.04%  wasmtime  wasmtime           [.] wiggle::GuestPtr<T>::new
     0.04%  wasmtime  [kernel.kallsyms]  [k] ext4_get_group_desc
     0.04%  wasmtime  wasmtime           [.] core::fmt::Arguments::new_v1
     0.04%  wasmtime  wasmtime           [.] <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     0.04%  wasmtime  wasmtime           [.] <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::all
     0.04%  wasmtime  wasmtime           [.] free@plt
     0.04%  wasmtime  [kernel.kallsyms]  [k] mpage_prepare_extent_to_map
     0.03%  wasmtime  [kernel.kallsyms]  [k] free_unref_page_commit
     0.03%  wasmtime  [kernel.kallsyms]  [k] free_unref_page_prepare.part.0
     0.03%  wasmtime  [kernel.kallsyms]  [k] swapgs_restore_regs_and_return_to_usermode
     0.03%  wasmtime  [kernel.kallsyms]  [k] mpage_process_page_bufs
     0.03%  wasmtime  [kernel.kallsyms]  [k] find_get_pages_range
     0.03%  wasmtime  wasmtime           [.] <alloc::alloc::Global as core::alloc::Allocator>::deallocate
     0.03%  wasmtime  [kernel.kallsyms]  [k] __mod_zone_page_state
     0.03%  wasmtime  [kernel.kallsyms]  [k] prepare_exit_to_usermode
     0.02%  wasmtime  wasmtime           [.] <core::core_arch::x86::__m128i as core::core_arch::x86::m128iExt>::as_m128i
     0.02%  wasmtime  wasmtime           [.] wasmtime_runtime::instance::InstanceHandle::instance
     0.02%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<wiggle::GuestCow<u8>>
     0.02%  wasmtime  [kernel.kallsyms]  [k] pagecache_get_page
     0.02%  wasmtime  wasmtime           [.] <cap_std::fs::file::File as std::os::fd::owned::AsFd>::as_fd
     0.02%  wasmtime  wasmtime           [.] wiggle::GuestPtr<T>::new
     0.02%  wasmtime  wasmtime           [.] core::sync::atomic::AtomicU32::store
     0.02%  wasmtime  wasmtime           [.] wasmtime::store::data::Stored<T>::assert_belongs_to
     0.02%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T,A> as core::ops::deref::Deref>::deref
     0.02%  wasmtime  [JIT] tid 3051082  [.] 0x00007fa389b8be86
     0.02%  wasmtime  wasmtime           [.] <core::ops::control_flow::ControlFlow<B,C> as core::cmp::PartialEq>::eq
     0.02%  wasmtime  [kernel.kallsyms]  [k] grab_cache_page_write_begin
     0.02%  wasmtime  wasmtime           [.] alloc::raw_vec::RawVec<T,A>::allocator
     0.02%  wasmtime  wasmtime           [.] wiggle::borrow::BorrowChecker::new
     0.02%  wasmtime  [kernel.kallsyms]  [k] kfree
     0.02%  wasmtime  wasmtime           [.] <core::core_arch::x86::__m128i as core::core_arch::x86::m128iExt>::as_m128i
     0.02%  wasmtime  wasmtime           [.] core::sync::atomic::atomic_store
     0.02%  wasmtime  wasmtime           [.] hashbrown::raw::Bucket<T>::write
     0.02%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<core::option::Option<tracing::span::Inner>>
     0.02%  wasmtime  wasmtime           [.] core::iter::traits::iterator::Iterator::collect
     0.02%  wasmtime  wasmtime           [.] hashbrown::raw::RawTable<T,A>::reserve
     0.02%  wasmtime  wasmtime           [.] <T as io_lifetimes::raw::AsRawFilelike>::as_raw_filelike
     0.02%  wasmtime  wasmtime           [.] <usize as core::iter::range::Step>::forward_unchecked
     0.02%  wasmtime  [kernel.kallsyms]  [k] cshook_systemcalltable_post_readv
     0.02%  wasmtime  wasmtime           [.] <I as core::iter::traits::collect::IntoIterator>::into_iter
     0.02%  wasmtime  wasmtime           [.] wasi_common::snapshots::preview_1::<impl wasi_common::snapshots::preview_1::wasi_snapshot_preview1::WasiSnapshotPreview1 for wasi_common::ctx::WasiCtx>::fd_read::{{closure}}::{{closure}}
     0.02%  wasmtime  wasmtime           [.] core::option::Option<T>::ok_or_else
     0.02%  wasmtime  wasmtime           [.] core::core_arch::x86::sse2::_mm_movemask_epi8
     0.02%  wasmtime  wasmtime           [.] <hashbrown::raw::inner::bitmask::BitMaskIter as core::iter::traits::iterator::Iterator>::next
     0.02%  wasmtime  wasmtime           [.] <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
     0.02%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<alloc::sync::Arc<wasi_common::file::FileEntry>>
     0.02%  wasmtime  wasmtime           [.] wiggle::GuestPtr<T>::add
     0.02%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<core::iter::adapters::GenericShunt<core::iter::adapters::map::Map<alloc::vec::into_iter::IntoIter<wiggle::GuestPtr<[u8]>>,wasi_common::snapshots::preview_1::<impl wasi_common::snapshots::preview_1::wasi_snapshot_preview1::WasiSnapshotPreview1 for wasi_common::ctx::WasiCtx>::fd_read::{{closure}}::{{closure}}>,core::result::Result<core::convert::Infallible,wasi_common::snapshots::preview_1::types::Error>>>
     0.02%  wasmtime  wasmtime           [.] tracing::instrument::_::<impl tracing::instrument::Instrumented<T>>::project
     0.02%  wasmtime  wasmtime           [.] <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::Try>::branch
     0.02%  wasmtime  wasmtime           [.] hashbrown::raw::RawTableInner<A>::prepare_resize::{{closure}}
     0.02%  wasmtime  wasmtime           [.] core::iter::traits::iterator::Iterator::for_each
     0.02%  wasmtime  wasmtime           [.] <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
     0.02%  wasmtime  [kernel.kallsyms]  [k] __wake_up_common
     0.02%  wasmtime  wasmtime           [.] wiggle::GuestPtr<T>::read
     0.02%  wasmtime  wasmtime           [.] <core::result::Result<V,E> as core::iter::traits::collect::FromIterator<core::result::Result<A,E>>>::from_iter
     0.02%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<core::ops::control_flow::ControlFlow<wiggle::GuestSliceMut<u8>>>
     0.02%  wasmtime  wasmtime           [.] <core::result::Result<V,E> as core::iter::traits::collect::FromIterator<core::result::Result<A,E>>>::from_iter::{{closure}}
     0.02%  wasmtime  [JIT] tid 3051082  [.] 0x00007fa389b8be41
     0.02%  wasmtime  wasmtime           [.] wiggle::UnsafeGuestSlice<T>::shared_borrow
     0.02%  wasmtime  [kernel.kallsyms]  [k] page_poisoning_enabled
     0.02%  wasmtime  wasmtime           [.] core::ptr::mut_ptr::<impl *mut T>::is_null
     0.02%  wasmtime  wasmtime           [.] core::core_arch::x86::sse2::_mm_set1_epi8
     0.02%  wasmtime  wasmtime           [.] <I as core::iter::traits::collect::IntoIterator>::into_iter
     0.02%  wasmtime  wasmtime           [.] <[A] as core::slice::cmp::SlicePartialEq<B>>::equal
     0.02%  wasmtime  wasmtime           [.] wiggle::borrow::InnerBorrowChecker::shared_unborrow
     0.02%  wasmtime  wasmtime           [.] <T as core::convert::TryInto<U>>::try_into
     0.02%  wasmtime  wasmtime           [.] <T as io_lifetimes::portability::IntoFilelike>::into_filelike
     0.02%  wasmtime  wasmtime           [.] <T as core::convert::Into<U>>::into
     0.02%  wasmtime  [kernel.kallsyms]  [k] should_fail_alloc_page
     0.02%  wasmtime  wasmtime           [.] <wasi_cap_std_sync::file::File as wasi_common::file::WasiFile>::write_vectored
     0.02%  wasmtime  wasmtime           [.] std::collections::hash::map::RandomState::new::KEYS::__getit
     0.02%  wasmtime  wasmtime           [.] wiggle::validate_size_align::{{closure}}
     0.02%  wasmtime  [JIT] tid 3051082  [.] 0x00007fa389b92158
     0.02%  wasmtime  [kernel.kallsyms]  [k] jbd2_write_access_granted
     0.02%  wasmtime  wasmtime           [.] <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::size_hint
     0.02%  wasmtime  wasmtime           [.] core::sync::atomic::AtomicUsize::load
     0.02%  wasmtime  wasmtime           [.] wasmtime_runtime::instance::InstanceHandle::store
     0.02%  wasmtime  wasmtime           [.] alloc::raw_vec::RawVec<T,A>::current_memory
     0.02%  wasmtime  wasmtime           [.] hashbrown::raw::inner::bitmask::BitMask::remove_lowest_bit
     0.02%  wasmtime  wasmtime           [.] wiggle::borrow::InnerBorrowChecker::is_mut_borrowed
     0.02%  wasmtime  wasmtime           [.] <F as core::future::into_future::IntoFuture>::into_future
     0.02%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.02%  wasmtime  wasmtime           [.] alloc::raw_vec::RawVec<T,A>::current_memory
     0.02%  wasmtime  wasmtime           [.] wiggle::borrow::BorrowChecker::mut_borrow
     0.02%  wasmtime  wasmtime           [.] hashbrown::raw::RawTable<T,A>::find::{{closure}}
     0.02%  wasmtime  [kernel.kallsyms]  [k] file_remove_privs
     0.02%  wasmtime  wasmtime           [.] <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::Try>::from_output
     0.02%  wasmtime  [kernel.kallsyms]  [k] do_iter_read
     0.02%  wasmtime  wasmtime           [.] <core::iter::adapters::GenericShunt<I,R> as core::iter::traits::iterator::Iterator>::try_fold
     0.02%  wasmtime  wasmtime           [.] <wasi_common::snapshots::preview_1::types::Ciovec as wiggle::guest_type::GuestType>::guest_size
     0.02%  wasmtime  wasmtime           [.] core::result::Result<T,E>::unwrap
     0.02%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T,A> as core::ops::index::Index<I>>::index
     0.02%  wasmtime  wasmtime           [.] core::iter::traits::iterator::Iterator::try_for_each::call::{{closure}}
     0.02%  wasmtime  wasmtime           [.] alloc::alloc::box_free
     0.02%  wasmtime  wasmtime           [.] <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::size_hint
     0.02%  wasmtime  wasmtime           [.] wiggle::GuestPtr<T>::new
     0.02%  wasmtime  wasmtime           [.] wiggle::GuestPtr<T>::cast
     0.02%  wasmtime  wasmtime           [.] core::ops::control_flow::ControlFlow<R,<R as core::ops::try_trait::Try>::Output>::from_try
     0.02%  wasmtime  wasmtime           [.] wasmtime_runtime::instance::InstanceHandle::instance
     0.02%  wasmtime  [kernel.kallsyms]  [k] xas_nomem
     0.02%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T> as core::iter::traits::collect::FromIterator<T>>::from_iter
     0.02%  wasmtime  wasmtime           [.] core::iter::adapters::map::Map<I,F>::new
     0.02%  wasmtime  [kernel.kallsyms]  [k] ext4_has_free_clusters
     0.02%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<core::pin::Pin<alloc::boxed::Box<wasmtime_wasi::sync::snapshots::preview_1::add_wasi_snapshot_preview1_to_linker<wasmtime_cli::commands::run::Host,wasi_common::ctx::WasiCtx,wasmtime_cli::commands::run::populate_with_wasi::{{closure}}>::{{closure}}::{{closure}}>>>
     0.02%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,I>>::from_iter
     0.02%  wasmtime  [kernel.kallsyms]  [k] get_mem_cgroup_from_page
     0.02%  wasmtime  wasmtime           [.] core::iter::adapters::try_process
     0.02%  wasmtime  wasmtime           [.] core::cmp::impls::<impl core::cmp::PartialOrd for usize>::lt
     0.02%  wasmtime  wasmtime           [.] hashbrown::raw::RawTable<T,A>::find
     0.02%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<[wiggle::GuestCow<u8>]>
     0.02%  wasmtime  wasmtime           [.] <wiggle::wasmtime::WasmtimeGuestMemory as wiggle::GuestMemory>::is_mut_borrowed
     0.02%  wasmtime  wasmtime           [.] hashbrown::raw::RawTable<T,A>::remove_entry
     0.02%  wasmtime  [kernel.kallsyms]  [k] _raw_write_lock
     0.02%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<alloc::vec::into_iter::IntoIter<wiggle::GuestPtr<[u8]>>>
     0.02%  wasmtime  wasmtime           [.] core::future::identity_future
     0.02%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<wiggle::GuestSliceMut<u8>>
     0.02%  wasmtime  wasmtime           [.] core::task::wake::Waker::from_raw
     0.02%  wasmtime  wasmtime           [.] <wiggle::GuestSlice<T> as core::ops::deref::Deref>::deref
     0.02%  wasmtime  wasmtime           [.] <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::try_fold
     0.02%  wasmtime  wasmtime           [.] wasmtime::store::data::<impl core::ops::index::Index<I> for wasmtime::store::context::StoreContext<T>>::index
     0.02%  wasmtime  wasmtime           [.] std::io::IoSlice::new
     0.02%  wasmtime  wasmtime           [.] core::ptr::mut_ptr::<impl *mut T>::is_null
     0.02%  wasmtime  wasmtime           [.] core::option::Option<T>::unwrap_or
     0.02%  wasmtime  [kernel.kallsyms]  [k] file_update_time
     0.02%  wasmtime  wasmtime           [.] core::future::identity_future
     0.02%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.02%  wasmtime  [JIT] tid 3051082  [.] 0x00007fa389b8bf00
     0.02%  wasmtime  wasmtime           [.] alloc::boxed::<impl core::convert::From<alloc::boxed::Box<T,A>> for core::pin::Pin<alloc::boxed::Box<T,A>>>::from
     0.02%  wasmtime  [kernel.kallsyms]  [k] __next_zones_zonelist
     0.02%  wasmtime  wasmtime           [.] alloc::boxed::Box<T,A>::into_pin
     0.02%  wasmtime  wasmtime           [.] <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::FromResidual>::from_residual
     0.02%  wasmtime  wasmtime           [.] <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     0.02%  wasmtime  wasmtime           [.] wasi_common::snapshots::preview_1::<impl wasi_common::snapshots::preview_1::wasi_snapshot_preview1::WasiSnapshotPreview1 for wasi_common::ctx::WasiCtx>::fd_write::{{closure}}::{{closure}}
     0.02%  wasmtime  [kernel.kallsyms]  [k] ext4_mark_inode_dirty
     0.02%  wasmtime  wasmtime           [.] <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     0.02%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<wiggle::GuestSlice<u8>>
     0.02%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.02%  wasmtime  wasmtime           [.] ZSTD_decompressSequences_bmi2.isra.0
     0.02%  wasmtime  wasmtime           [.] core::iter::adapters::map::map_fold::{{closure}}
     0.02%  wasmtime  wasmtime           [.] hashbrown::raw::alloc::inner::do_alloc
     0.02%  wasmtime  wasmtime           [.] hashbrown::raw::inner::bitmask::BitMask::lowest_set_bit
     0.02%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.02%  wasmtime  wasmtime           [.] core::iter::traits::iterator::Iterator::for_each
     0.02%  wasmtime  wasmtime           [.] core::ops::control_flow::ControlFlow<R,<R as core::ops::try_trait::Try>::Output>::from_try
     0.02%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.02%  wasmtime  wasmtime           [.] <usize as core::slice::index::SliceIndex<[T]>>::index
     0.02%  wasmtime  [kernel.kallsyms]  [k] xas_create
     0.02%  wasmtime  wasmtime           [.] <usize as core::iter::range::Step>::forward_unchecked
     0.02%  wasmtime  wasmtime           [.] <core::result::Result<T,anyhow::Error> as wasmtime::func::WasmRet>::into_abi_for_ret::{{closure}}
     0.02%  wasmtime  [kernel.kallsyms]  [k] ext4_get_reserved_space
     0.02%  wasmtime  wasmtime           [.] hashbrown::raw::inner::RawTableInner<A>::ctrl
     0.02%  wasmtime  wasmtime           [.] core::ops::function::FnMut::call_mut
     0.02%  wasmtime  wasmtime           [.] <core::iter::adapters::GenericShunt<I,R> as core::iter::traits::iterator::Iterator>::next
     0.02%  wasmtime  wasmtime           [.] std::sync::poison::Flag::guard
     0.02%  wasmtime  [kernel.kallsyms]  [k] do_readv
     0.02%  wasmtime  wasmtime           [.] <std::collections::hash::map::RandomState as core::hash::BuildHasher>::build_hasher
     0.02%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.02%  wasmtime  [kernel.kallsyms]  [k] alloc_page_buffers
     0.02%  wasmtime  wasmtime           [.] wiggle::GuestPtr<T>::add::{{closure}}
     0.02%  wasmtime  [kernel.kallsyms]  [k] truncate_inode_pages_range
     0.02%  wasmtime  wasmtime           [.] <wasmtime::store::data::StoreId as core::cmp::PartialEq>::eq
     0.02%  wasmtime  wasmtime           [.] <hashbrown::raw::RawIter<T> as core::iter::traits::iterator::Iterator>::next
     0.02%  wasmtime  wasmtime           [.] hashbrown::raw::inner::likely
     0.02%  wasmtime  wasmtime           [.] <std::collections::hash::map::RandomState as core::hash::BuildHasher>::build_hasher
     0.02%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T,A> as core::ops::deref::Deref>::deref
     0.02%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<core::task::wake::Waker>
     0.02%  wasmtime  [kernel.kallsyms]  [k] page_evictable
     0.02%  wasmtime  wasmtime           [.] std::sync::mutex::MutexGuard<T>::new
     0.02%  wasmtime  wasmtime           [.] core::iter::adapters::map::map_try_fold::{{closure}}
     0.02%  wasmtime  wasmtime           [.] alloc::alloc::exchange_malloc
     0.02%  wasmtime  wasmtime           [.] wasi_common::snapshots::preview_1::<impl wasi_common::snapshots::preview_1::wasi_snapshot_preview1::WasiSnapshotPreview1 for wasi_common::ctx::WasiCtx>::fd_read::{{closure}}::{{closure}}
     0.02%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<alloc::raw_vec::RawVec<std::io::IoSliceMut>>
     0.02%  wasmtime  wasmtime           [.] <std::collections::hash::map::DefaultHasher as core::hash::Hasher>::finish
     0.02%  wasmtime  [kernel.kallsyms]  [k] copy_user_generic_unrolled
     0.02%  wasmtime  wasmtime           [.] core::option::Option<T>::and_then
     0.02%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
     0.02%  wasmtime  wasmtime           [.] wiggle::borrow::BorrowChecker::mut_unborrow
     0.02%  wasmtime  wasmtime           [.] <T as core::convert::Into<U>>::into
     0.02%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.02%  wasmtime  wasmtime           [.] hashbrown::raw::RawTableInner<A>::set_ctrl_h2
     0.02%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<core::pin::Pin<alloc::boxed::Box<dyn core::future::future::Future+Output = core::result::Result<u32,wasi_common::snapshots::preview_1::types::Error>+core::marker::Send>>>
     0.02%  wasmtime  wasmtime           [.] core::iter::traits::iterator::Iterator::map
     0.02%  wasmtime  wasmtime           [.] core::result::Result<T,E>::unwrap_unchecked
     0.02%  wasmtime  wasmtime           [.] <u32 as wiggle::guest_type::GuestType>::guest_align
     0.02%  wasmtime  wasmtime           [.] indexmap::map::IndexMap<K,V,S>::hash
     0.02%  wasmtime  wasmtime           [.] <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::Try>::from_output
     0.02%  wasmtime  [kernel.kallsyms]  [k] jbd2_journal_try_to_free_buffers
     0.02%  wasmtime  wasmtime           [.] core::convert::num::ptr_try_from_impls::<impl core::convert::TryFrom<u32> for usize>::try_from
     0.02%  wasmtime  [kernel.kallsyms]  [k] __slab_free
     0.02%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
     0.02%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::from_output
     0.02%  wasmtime  [kernel.kallsyms]  [k] xas_init_marks
     0.02%  wasmtime  [kernel.kallsyms]  [k] ext4_releasepage
     0.02%  wasmtime  [kernel.kallsyms]  [k] mutex_unlock
     0.02%  wasmtime  [kernel.kallsyms]  [k] zap_pte_range.isra.0
     0.02%  wasmtime  [kernel.kallsyms]  [k] xas_find
     0.02%  wasmtime  wasmtime           [.] alloc::raw_vec::finish_grow
     0.02%  wasmtime  [kernel.kallsyms]  [k] mpage_submit_page
     0.02%  wasmtime  [kernel.kallsyms]  [k] ext4_finish_bio
     0.02%  wasmtime  ld-2.31.so         [.] _dl_rtld_di_serinfo
     0.02%  wasmtime  [kernel.kallsyms]  [k] jbd2_journal_get_write_access
     0.02%  wasmtime  [kernel.kallsyms]  [k] free_unref_page_list
     0.01%  wasmtime  [kernel.kallsyms]  [k] __bio_try_merge_page
     0.01%  wasmtime  [kernel.kallsyms]  [k] page_add_file_rmap
     0.01%  wasmtime  wasmtime           [.] core::iter::traits::iterator::Iterator::zip
     0.01%  wasmtime  wasmtime           [.] core::slice::iter::ChunksExact<T>::new
     0.01%  wasmtime  wasmtime           [.] core::cmp::Ord::min
     0.01%  wasmtime  wasmtime           [.] core::slice::<impl [T]>::chunks_exact
     0.01%  wasmtime  wasmtime           [.] core::ptr::mut_ptr::<impl *mut T>::is_null
     0.01%  wasmtime  wasmtime           [.] core::ptr::const_ptr::<impl *const T>::is_null
     0.01%  wasmtime  wasmtime           [.] tracing::instrument::_::<impl tracing::instrument::Instrumented<T>>::project
     0.01%  wasmtime  [kernel.kallsyms]  [k] cshook_systemcalltable_pre_writev
     0.01%  wasmtime  [JIT] tid 3051082  [.] 0x00007fa389b8be9e
     0.01%  wasmtime  wasmtime           [.] <core::slice::iter::ChunksExact<T> as core::iter::traits::iterator::Iterator>::size_hint
     0.01%  wasmtime  [kernel.kallsyms]  [k] allocate_slab
     0.01%  wasmtime  wasmtime           [.] alloc::vec::Vec<T,A>::extend_desugared
     0.01%  wasmtime  wasmtime           [.] <T as core::borrow::Borrow<T>>::borrow
     0.01%  wasmtime  wasmtime           [.] alloc::sync::Arc<T>::from_inner
     0.01%  wasmtime  wasmtime           [.] wiggle::GuestPtr<T>::add
     0.01%  wasmtime  wasmtime           [.] <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::FromResidual>::from_residual
     0.01%  wasmtime  wasmtime           [.] <I as core::iter::traits::collect::IntoIterator>::into_iter
     0.01%  wasmtime  wasmtime           [.] hashbrown::raw::RawTable<T,A>::free_buckets
     0.01%  wasmtime  [JIT] tid 3051082  [.] 0x00007fa389b8bf08
     0.01%  wasmtime  wasmtime           [.] wasmtime::store::data::<impl core::ops::index::Index<I> for wasmtime::store::context::StoreContextMut<T>>::index
     0.01%  wasmtime  wasmtime           [.] alloc::boxed::<impl core::convert::From<alloc::boxed::Box<T,A>> for core::pin::Pin<alloc::boxed::Box<T,A>>>::from
     0.01%  wasmtime  wasmtime           [.] core::iter::adapters::map::map_try_fold
     0.01%  wasmtime  wasmtime           [.] core::slice::iter::IterMut<T>::new
     0.01%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
     0.01%  wasmtime  wasmtime           [.] <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::Try>::branch
     0.01%  wasmtime  [kernel.kallsyms]  [k] scsi_init_command
     0.01%  wasmtime  wasmtime           [.] <wiggle::GuestSliceMut<T> as core::ops::drop::Drop>::drop
     0.01%  wasmtime  wasmtime           [.] hashbrown::raw::RawTable<T,A>::find::{{closure}}
     0.01%  wasmtime  [kernel.kallsyms]  [k] __x64_sys_readv
     0.01%  wasmtime  wasmtime           [.] <core::result::Result<V,E> as core::iter::traits::collect::FromIterator<core::result::Result<A,E>>>::from_iter::{{closure}}
     0.01%  wasmtime  [kernel.kallsyms]  [k] __xa_set_mark
     0.01%  wasmtime  wasmtime           [.] hashbrown::map::make_insert_hash
     0.01%  wasmtime  wasmtime           [.] hashbrown::map::equivalent_key::{{closure}}
     0.01%  wasmtime  wasmtime           [.] wiggle::GuestPtr<T>::read
     0.01%  wasmtime  [kernel.kallsyms]  [k] page_counter_cancel
     0.01%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
     0.01%  wasmtime  wasmtime           [.] <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::size_hint
